"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-29","59","44","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-30",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-01",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-02","59","48","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-03","59","49","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-04","59","50","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-05",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-06",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-07",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-08",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-09","60","47","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-10","59","49","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-11",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-12",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-13","57","48","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-14","57","48","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-15",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-16","57","48","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-17","52","49","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-18","58","48","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-19","54","49","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-20","54","47","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-21","54","47","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-22","54","47","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-23",,,
